Year,National Parks,Wildlife Reserves,Hunting Reserves,Conservation Area,Buffer Zones,Total,Description
1973,932,0,0,0,0,932,Chitwan NP
1974,932,0,0,0,0,932,
1975,932,0,0,0,0,932,
1976,3896,480,0,0,0,4376,Lantang NP<br>Rara NP<br>Sagarmatha NP<br>Suklaphanta WR<br>Koshi Tappu WR
1977,3896,480,0,0,0,4376,
1978,3896,480,0,0,0,4376,
1979,3896,480,0,0,0,4376,
1980,3896,480,0,0,0,4376,
1981,3896,480,0,0,0,4376,
1982,3896,480,0,0,0,4376,
1983,3896,480,0,0,0,4376,
1984,8644,979,0,0,0,9623,Shey Phoksundo NP<br>Khaptad NP<br>Bardia NP<br>Parsa WR
1985,8644,979,0,0,0,9623,
1986,8644,979,0,0,0,9623,
1987,8644,979,1325,0,0,10948,Dhorpatan HR
1988,8644,979,1325,0,0,10948,
1989,8644,979,1325,0,0,10948,
1990,8644,979,1325,0,0,10948,
1991,10144,979,1325,0,0,12448,Makalu Barun NP
1992,10144,979,1325,7629,0,20077,Annapurna CA
1993,10144,979,1325,7629,0,20077,
1994,10144,979,1325,7629,0,20077,
1995,10144,979,1325,7629,0,20077,
1996,10144,979,1325,7629,1257,21334,Chitwan NP-BZ
1997,10144,979,1325,9664,1257,23369,Kanchanjunga CA
1998,10144,979,1325,11327,3026,26801,Manaslu CA<br>Langtang NP-BZ<br>Shey Phoksundo NP-BZ
1999,10144,979,1325,11327,3856,27631,Makalu Barun NP-BZ
2000,10144,979,1325,11327,3856,27631,
2001,10144,979,1325,11327,3856,27631,
2002,10303,979,1325,11327,4131,28065,Shivapuri NP<br>Sagarmatha NP-BZ
2003,10303,979,1325,11327,4131,28065,
2004,10303,979,1325,11327,4547.5,28481.5,Suklaphanta WR-BZ<br>Koshi Tappu NP-BZ
2005,10303,979,1325,11327,4845.67,28779.67,Parsa WR-BZ
2006,10303,979,1325,11327,5259.67,29193.67,Rara NP-BZ
2007,10303,979,1325,11327,5259.67,29193.67,
2008,10303,979,1325,11327,5259.67,29193.67,
2009,10303,979,1325,11343.95,5259.67,29210.62,Blackbuck CA
2010,10853,979,1325,15425.95,5602.67,34185.62,Banke NP<br>Gaurisankar CA<br>Api Nampa CA<br>Banke NP-BZ
